2022-04-27 23:38:24.547 [main] INFO  org.apache.logging.log4j.LogManager - Menace Training
2022-04-27 23:38:24.556 [main] INFO  org.apache.logging.log4j.LogManager - Config: Rewards: 3, Punish: 1, Draw: 2, Inital: 10, Probability: 9
2022-04-27 23:38:24.559 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.561 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 2
2022-04-27 23:38:24.561 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000001000
2022-04-27 23:38:24.567 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 000021000->000020010
2022-04-27 23:38:24.568 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020010
2022-04-27 23:38:24.568 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 0
2022-04-27 23:38:24.568 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020110
2022-04-27 23:38:24.570 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020112
2022-04-27 23:38:24.570 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 0
2022-04-27 23:38:24.571 [main] INFO  org.apache.logging.log4j.LogManager - Board state 100020112
2022-04-27 23:38:24.572 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 102020112->101021202
2022-04-27 23:38:24.573 [main] INFO  org.apache.logging.log4j.LogManager - Board state 101021202
2022-04-27 23:38:24.573 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 0
2022-04-27 23:38:24.573 [main] INFO  org.apache.logging.log4j.LogManager - Board state 101121202
2022-04-27 23:38:24.573 [main] INFO  org.apache.logging.log4j.LogManager - Human: 101121222
2022-04-27 23:38:24.576 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.576 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 1
2022-04-27 23:38:24.576 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000010000
2022-04-27 23:38:24.578 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000010002
2022-04-27 23:38:24.579 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 1
2022-04-27 23:38:24.579 [main] INFO  org.apache.logging.log4j.LogManager - Board state 010010002
2022-04-27 23:38:24.582 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 010010022->000112002
2022-04-27 23:38:24.582 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000112002
2022-04-27 23:38:24.582 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 2
2022-04-27 23:38:24.582 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001112002
2022-04-27 23:38:24.584 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001112202
2022-04-27 23:38:24.585 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 0
2022-04-27 23:38:24.585 [main] INFO  org.apache.logging.log4j.LogManager - Board state 101112202
2022-04-27 23:38:24.585 [main] INFO  org.apache.logging.log4j.LogManager - Human: 101112222
2022-04-27 23:38:24.587 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.588 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 0
2022-04-27 23:38:24.588 [main] INFO  org.apache.logging.log4j.LogManager - Board state 100000000
2022-04-27 23:38:24.590 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 100020000->000020001
2022-04-27 23:38:24.590 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020001
2022-04-27 23:38:24.590 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 1
2022-04-27 23:38:24.590 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020011
2022-04-27 23:38:24.592 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 000020211->000020112
2022-04-27 23:38:24.593 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020112
2022-04-27 23:38:24.593 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 1
2022-04-27 23:38:24.593 [main] INFO  org.apache.logging.log4j.LogManager - Board state 010020112
2022-04-27 23:38:24.595 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 010022112->001121022
2022-04-27 23:38:24.596 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001121022
2022-04-27 23:38:24.596 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 0
