AVAILABLE,COMBINATION,
13 | 0 | 0 | 0 | 0 | 10 | 0 | 10 | 0,011120202,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 10 | 10,001202100,
10 | 10 | 0 | 0 | 10 | 10 | 10 | 0 | 0,002200011,
11 | 10 | 18 | 0 | 0 | 0 | 10 | 0 | 12,000122010,
10 | 0 | 0 | 0 | 0 | 0 | 10 | 0 | 10,011221020,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 10 | 0,001122102,
10 | 10 | 10 | 0 | 10 | 0 | 10 | 0 | 0,000202011,
7 | 9 | 0 | 0 | 0 | 10 | 10 | 0 | 8,002120010,
12 | 10 | 9 | 10 | 9 | 0 | 0 | 0 | 0,000002112,
13 | 9 | 0 | 0 | 0 | 0 | 0 | 10 | 0,002121102,
6 | 17 | 52 | 0 | 0 | 0 | 0 | 42 | 33,000112200,
9 | 15 | 11 | 7 | 20 | 0 | 11 | 0 | 16,000001020,
10 | 0 | 0 | 0 | 0 | 12 | 0 | 10 | 0,012210102,
10 | 10 | 0 | 10 | 10 | 0 | 0 | 0 | 10,001002210,
10 | 13 | 0 | 0 | 0 | 0 | 10 | 0 | 0,001212021,
10 | 10 | 0 | 10 | 10 | 0 | 0 | 0 | 10,002001210,
8 | 10 | 0 | 0 | 0 | 16 | 0 | 0 | 0,001220211,
10 | 0 | 10 | 0 | 0 | 0 | 0 | 9 | 0,010121202,
10 | 10 | 0 | 0 | 0 | 10 | 0 | 0 | 0,002110212,
10 | 0 | 10 | 0 | 10 | 0 | 0 | 0 | 0,010102122,
0 | 10 | 0 | 10 | 0 | 0 | 0 | 10 | 0,101012202,
22 | 16 | 9 | 0 | 0 | 0 | 0 | 0 | 0,000122121,
10 | 10 | 0 | 0 | 0 | 0 | 9 | 0 | 0,001121022,
10 | 10 | 10 | 0 | 10 | 0 | 0 | 10 | 0,000101202,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,001201122,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,001202211,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,002201112,
9 | 10 | 0 | 12 | 0 | 10 | 0 | 10 | 0,001020201,
10 | 12 | 0 | 0 | 0 | 9 | 0 | 0 | 0,002120121,
0 | 10 | 0 | 8 | 0 | 10 | 0 | 0 | 0,102010212,
10 | 13 | 10 | 0 | 0 | 0 | 0 | 0 | 0,000112212,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,002212110,
16 | 10 | 0 | 0 | 0 | 0 | 17 | 0 | 0,002211021,
0 | 10 | 0 | 0 | 10 | 0 | 0 | 10 | 0,102102201,
10 | 9 | 10 | 10 | 15 | 0 | 0 | 0 | 0,000002121,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 0 | 10,011102220,
10 | 10 | 0 | 0 | 0 | 0 | 13 | 0 | 0,001212012,
0 | 0 | 0 | 0 | 10 | 10 | 0 | 10 | 0,112100202,
10 | 0 | 0 | 0 | 0 | 10 | 0 | 10 | 0,021220101,
14 | 7 | 0 | 0 | 10 | 0 | 16 | 11 | 0,001201002,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,011200212,
11 | 12 | 14 | 0 | 0 | 0 | 26 | 8 | 0,000122001,
10 | 10 | 0 | 0 | 13 | 0 | 0 | 0 | 0,001202121,
10 | 10 | 0 | 0 | 10 | 0 | 10 | 10 | 0,001202001,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,011200221,
10 | 10 | 10 | 10 | 0 | 0 | 10 | 0 | 0,000012021,
10 | 10 | 10 | 10 | 10 | 0 | 0 | 0 | 0,000001122,
9 | 10 | 14 | 10 | 13 | 0 | 0 | 0 | 0,000002211,
13 | 10 | 0 | 0 | 0 | 10 | 0 | 0 | 0,002120112,
10 | 12 | 10 | 0 | 0 | 0 | 0 | 0 | 0,000112221,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,002102121,
0 | 8 | 0 | 0 | 0 | 10 | 0 | 10 | 0,102210102,
10 | 10 | 0 | 10 | 10 | 0 | 0 | 0 | 10,001001220,
10 | 0 | 0 | 0 | 0 | 10 | 10 | 0 | 0,011210022,
5 | 5 | 0 | 0 | 0 | 0 | 0 | 34 | 0,001112202,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,001122120,
10 | 12 | 0 | 0 | 10 | 0 | 0 | 0 | 0,002201121,
10 | 0 | 10 | 0 | 10 | 0 | 0 | 0 | 0,010102221,
10 | 10 | 0 | 0 | 10 | 0 | 10 | 0 | 10,001201020,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,001202112,
10 | 10 | 0 | 0 | 0 | 0 | 10 | 0 | 0,001122012,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 10 | 0,011102202,
10 | 10 | 0 | 0 | 0 | 0 | 10 | 0 | 0,002212011,
