AVAILABLE,COMBINATION,
10 | 0 | 0 | 0 | 0 | 6 | 0 | 9 | 0,011120202,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 10 | 10,001202100,
12 | 13 | 0 | 0 | 13 | 10 | 10 | 0 | 0,002200011,
10 | 8 | 11 | 0 | 0 | 0 | 10 | 0 | 9,000122010,
10 | 0 | 0 | 0 | 0 | 0 | 10 | 0 | 10,011221020,
13 | 10 | 0 | 0 | 0 | 0 | 0 | 10 | 0,001122102,
10 | 10 | 10 | 0 | 13 | 0 | 10 | 0 | 0,000202011,
9 | 8 | 0 | 0 | 0 | 10 | 11 | 0 | 8,002120010,
7 | 9 | 7 | 9 | 11 | 0 | 0 | 0 | 0,000002112,
10 | 8 | 0 | 0 | 0 | 0 | 0 | 10 | 0,002121102,
3 | 11 | 11 | 0 | 0 | 0 | 0 | 183 | 252,000112200,
6 | 10 | 8 | 5 | 16 | 0 | 12 | 0 | 14,000001020,
10 | 0 | 0 | 0 | 0 | 10 | 0 | 10 | 0,012210102,
10 | 12 | 0 | 10 | 10 | 0 | 0 | 0 | 10,001002210,
10 | 10 | 0 | 0 | 0 | 0 | 10 | 0 | 0,001212021,
10 | 10 | 0 | 10 | 10 | 0 | 0 | 0 | 10,002001210,
9 | 6 | 0 | 0 | 0 | 46 | 0 | 0 | 0,001220211,
10 | 0 | 10 | 0 | 0 | 0 | 0 | 10 | 0,010121202,
10 | 10 | 0 | 0 | 0 | 10 | 0 | 0 | 0,002110212,
10 | 0 | 10 | 0 | 10 | 0 | 0 | 0 | 0,010102122,
0 | 10 | 0 | 10 | 0 | 0 | 0 | 10 | 0,101012202,
70 | 36 | 8 | 0 | 0 | 0 | 0 | 0 | 0,000122121,
10 | 10 | 0 | 0 | 0 | 0 | 10 | 0 | 0,001121022,
10 | 10 | 10 | 0 | 10 | 0 | 0 | 10 | 0,000101202,
13 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,001201122,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,001202211,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,002201112,
34 | 44 | 0 | 47 | 0 | 61 | 0 | 39 | 0,001020201,
79 | 48 | 0 | 0 | 0 | 5 | 0 | 0 | 0,002120121,
0 | 13 | 0 | 10 | 0 | 16 | 0 | 0 | 0,102010212,
9 | 19 | 14 | 0 | 0 | 0 | 0 | 0 | 0,000112212,
9 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,002212110,
16 | 14 | 0 | 0 | 0 | 0 | 14 | 0 | 0,002211021,
0 | 10 | 0 | 0 | 10 | 0 | 0 | 10 | 0,102102201,
13 | 14 | 3 | 48 | 35 | 0 | 0 | 0 | 0,000002121,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 0 | 10,011102220,
10 | 10 | 0 | 0 | 0 | 0 | 13 | 0 | 0,001212012,
0 | 0 | 0 | 0 | 10 | 10 | 0 | 10 | 0,112100202,
10 | 0 | 0 | 0 | 0 | 13 | 0 | 16 | 0,021220101,
29 | 8 | 0 | 0 | 8 | 0 | 17 | 9 | 0,001201002,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,011200212,
24 | 21 | 27 | 0 | 0 | 0 | 52 | 29 | 0,000122001,
4 | 9 | 0 | 0 | 16 | 0 | 0 | 0 | 0,001202121,
9 | 9 | 0 | 0 | 10 | 0 | 8 | 9 | 0,001202001,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,011200221,
10 | 10 | 10 | 10 | 0 | 0 | 10 | 0 | 0,000012021,
10 | 13 | 10 | 10 | 10 | 0 | 0 | 0 | 0,000001122,
10 | 11 | 11 | 19 | 19 | 0 | 0 | 0 | 0,000002211,
19 | 7 | 0 | 0 | 0 | 10 | 0 | 0 | 0,002120112,
