AVAILABLE,COMBINATION,
100 | 0 | 0 | 0 | 0 | 100 | 0 | 100 | 0,011120202,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 100 | 100,001202100,
100 | 100 | 0 | 0 | 100 | 100 | 100 | 0 | 0,002200011,
100 | 100 | 100 | 0 | 0 | 0 | 100 | 0 | 100,000122010,
100 | 0 | 0 | 0 | 0 | 0 | 100 | 0 | 100,011221020,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 100 | 0,001122102,
100 | 100 | 100 | 0 | 100 | 0 | 100 | 0 | 0,000202011,
87 | 84 | 0 | 0 | 0 | 89 | 163 | 0 | 88,002120010,
100 | 100 | 100 | 100 | 100 | 0 | 0 | 0 | 0,000002112,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 100 | 0,002121102,
56 | 484 | 1799 | 0 | 0 | 0 | 0 | 2717 | 2430,000112200,
100 | 100 | 100 | 100 | 100 | 0 | 100 | 0 | 100,000001020,
100 | 0 | 0 | 0 | 0 | 100 | 0 | 100 | 0,012210102,
100 | 100 | 0 | 100 | 100 | 0 | 0 | 0 | 100,001002210,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,001212021,
100 | 100 | 0 | 100 | 100 | 0 | 0 | 0 | 100,002001210,
100 | 100 | 0 | 0 | 0 | 100 | 0 | 0 | 0,001220211,
100 | 0 | 100 | 0 | 0 | 0 | 0 | 100 | 0,010121202,
100 | 100 | 0 | 0 | 0 | 100 | 0 | 0 | 0,002110212,
100 | 0 | 100 | 0 | 100 | 0 | 0 | 0 | 0,010102122,
0 | 100 | 0 | 100 | 0 | 0 | 0 | 100 | 0,101012202,
100 | 100 | 100 | 0 | 0 | 0 | 0 | 0 | 0,000122121,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,001121022,
100 | 100 | 100 | 0 | 100 | 0 | 0 | 100 | 0,000101202,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,001201122,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,001202211,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,002201112,
100 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0,001020201,
13690 | 1649 | 0 | 0 | 0 | 58 | 0 | 0 | 0,002120121,
0 | 100 | 0 | 100 | 0 | 100 | 0 | 0 | 0,102010212,
100 | 100 | 100 | 0 | 0 | 0 | 0 | 0 | 0,000112212,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,002212110,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,002211021,
0 | 100 | 0 | 0 | 100 | 0 | 0 | 100 | 0,102102201,
100 | 100 | 100 | 100 | 100 | 0 | 0 | 0 | 0,000002121,
100 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 100,011102220,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,001212012,
0 | 0 | 0 | 0 | 100 | 100 | 0 | 100 | 0,112100202,
100 | 0 | 0 | 0 | 0 | 100 | 0 | 100 | 0,021220101,
100 | 100 | 0 | 0 | 100 | 0 | 100 | 100 | 0,001201002,
100 | 0 | 0 | 0 | 100 | 100 | 0 | 0 | 0,011200212,
100 | 100 | 100 | 0 | 0 | 0 | 100 | 100 | 0,000122001,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,001202121,
100 | 100 | 0 | 0 | 100 | 0 | 100 | 100 | 0,001202001,
100 | 0 | 0 | 0 | 100 | 100 | 0 | 0 | 0,011200221,
100 | 100 | 100 | 100 | 0 | 0 | 100 | 0 | 0,000012021,
100 | 100 | 100 | 100 | 100 | 0 | 0 | 0 | 0,000001122,
100 | 100 | 100 | 100 | 100 | 0 | 0 | 0 | 0,000002211,
172 | 98 | 0 | 0 | 0 | 93 | 0 | 0 | 0,002120112,
100 | 100 | 100 | 0 | 0 | 0 | 0 | 0 | 0,000112221,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,002102121,
0 | 100 | 0 | 0 | 0 | 100 | 0 | 100 | 0,102210102,
100 | 100 | 0 | 100 | 100 | 0 | 0 | 0 | 100,001001220,
100 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0,011210022,
68 | 66 | 0 | 0 | 0 | 0 | 0 | 1020 | 0,001112202,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,001122120,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,002201121,
100 | 0 | 100 | 0 | 100 | 0 | 0 | 0 | 0,010102221,
100 | 100 | 0 | 0 | 100 | 0 | 100 | 0 | 100,001201020,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,001202112,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,001122012,
100 | 0 | 0 | 0 | 100 | 0 | 0 | 100 | 0,011102202,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,002212011,
100 | 100 | 0 | 0 | 100 | 0 | 100 | 0 | 100,002102010,
100 | 100 | 0 | 100 | 100 | 0 | 0 | 100 | 0,001002201,
100 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 100,012101220,
100 | 100 | 100 | 100 | 100 | 0 | 0 | 100 | 100,000002100,
100 | 0 | 100 | 0 | 0 | 0 | 0 | 100 | 0,010212102,
100 | 100 | 0 | 0 | 100 | 0 | 100 | 0 | 100,001102020,
100 | 100 | 0 | 0 | 100 | 0 | 100 | 0 | 100,002201010,
100 | 0 | 0 | 0 | 100 | 0 | 0 | 100 | 0,011201202,
100 | 0 | 100 | 0 | 100 | 0 | 0 | 0 | 0,010102212,
100 | 0 | 100 | 0 | 0 | 0 | 0 | 100 | 0,010122201,
100 | 100 | 0 | 0 | 0 | 100 | 0 | 0 | 0,001120122,
